payment_id,user_id,amount,payment_date,plan_id,status
1,2024,39.99,2022-04-29,10,successful
2,1240,12.99,2024-11-10,6,failed
3,2918,0.0,2024-03-10,11,successful
4,2253,49.99,2024-11-01,4,successful
5,2097,24.99,2024-04-21,8,successful
6,94,59.99,2022-11-15,14,failed
7,2807,24.99,2024-03-27,8,successful
8,975,39.99,2024-03-28,10,successful
9,739,14.99,2025-07-17,2,successful
10,2469,9.99,2025-07-18,1,successful
11,362,29.99,2025-01-24,9,successful
12,2323,0.0,2025-01-10,11,successful
13,1586,59.99,2022-07-21,14,successful
14,549,59.99,2022-02-24,14,successful
15,2001,9.99,2024-04-02,1,successful
16,2442,9.99,2022-08-31,1,successful
17,2401,19.99,2023-03-26,3,successful
18,602,39.99,2025-02-10,10,successful
19,2267,39.99,2023-04-19,10,successful
20,2894,29.99,2024-06-13,9,successful
21,2489,199.99,2024-07-19,15,failed
22,994,4.99,2023-10-10,12,successful
23,2011,12.99,2024-07-31,6,successful
24,1695,59.99,2024-11-28,14,successful
25,923,49.99,2023-11-24,4,successful
26,1828,9.99,2024-09-24,1,successful
27,416,6.99,2022-12-16,13,successful
28,2696,199.99,2023-03-23,15,successful
29,1349,12.99,2025-07-18,6,successful
30,1304,24.99,2022-03-09,8,successful
31,2637,14.99,2024-12-10,2,successful
32,2472,0.0,2023-04-01,11,successful
33,2912,59.99,2023-07-28,14,successful
34,1275,12.99,2024-11-08,6,successful
35,429,14.99,2023-09-30,2,successful
36,1980,9.99,2025-08-27,1,failed
37,420,6.99,2022-11-09,13,failed
38,2655,6.99,2023-10-23,13,successful
39,813,17.99,2025-01-02,7,failed
40,467,12.99,2025-07-09,6,successful
41,2187,39.99,2022-06-02,10,successful
42,2388,0.0,2024-06-15,11,successful
43,1845,39.99,2024-07-03,10,successful
44,583,49.99,2025-08-01,4,failed
45,2571,5.99,2024-01-02,5,successful
46,1196,5.99,2024-04-23,5,failed
47,2354,6.99,2023-08-24,13,successful
48,950,59.99,2024-05-16,14,successful
49,1751,5.99,2022-02-14,5,successful
50,893,19.99,2025-06-09,3,successful
51,896,6.99,2024-10-18,13,successful
52,854,59.99,2022-09-01,14,successful
53,2041,12.99,2024-07-16,6,successful
54,657,39.99,2022-10-29,10,successful
55,957,14.99,2024-11-08,2,successful
56,2292,6.99,2023-03-03,13,successful
57,560,39.99,2022-07-01,10,successful
58,1509,199.99,2023-09-16,15,successful
59,929,49.99,2022-12-25,4,successful
60,1540,59.99,2024-02-03,14,successful
61,1422,0.0,2023-06-05,11,successful
62,2389,17.99,2024-03-07,7,successful
63,1912,199.99,2023-03-01,15,successful
64,1575,59.99,2024-08-22,14,successful
65,1593,19.99,2022-09-08,3,successful
66,2590,39.99,2024-01-01,10,successful
67,2664,14.99,2025-07-08,2,successful
68,2498,14.99,2024-05-19,2,successful
69,13,12.99,2022-01-27,6,failed
70,679,14.99,2024-11-17,2,successful
71,1657,39.99,2025-02-04,10,successful
72,1175,199.99,2022-07-22,15,successful
73,1229,59.99,2023-07-15,14,successful
74,1584,4.99,2022-04-30,12,successful
75,1046,59.99,2025-02-25,14,successful
76,1995,6.99,2024-07-10,13,successful
77,527,39.99,2022-09-14,10,successful
78,1183,0.0,2025-07-28,11,failed
79,825,6.99,2022-02-28,13,successful
80,1740,59.99,2025-07-23,14,successful
81,122,39.99,2025-08-15,10,successful
82,2897,59.99,2023-01-19,14,successful
83,773,17.99,2024-02-12,7,successful
84,505,39.99,2024-02-13,10,failed
85,1696,17.99,2022-06-09,7,successful
86,1284,4.99,2024-03-18,12,failed
87,1139,19.99,2022-03-07,3,successful
88,525,19.99,2023-03-27,3,successful
89,2411,29.99,2022-03-23,9,successful
90,856,4.99,2024-06-15,12,failed
91,2269,49.99,2024-05-12,4,successful
92,2529,4.99,2022-02-03,12,successful
93,1853,39.99,2022-05-28,10,successful
94,2604,5.99,2023-07-20,5,successful
95,493,5.99,2023-08-25,5,successful
96,673,49.99,2023-05-18,4,successful
97,1436,14.99,2024-07-26,2,successful
98,1620,199.99,2024-01-09,15,successful
99,1259,19.99,2024-02-11,3,successful
100,451,29.99,2024-02-25,9,successful
101,526,17.99,2023-03-23,7,successful
102,2395,6.99,2024-01-01,13,successful
103,2634,17.99,2025-06-08,7,successful
104,1459,39.99,2022-11-20,10,successful
105,1991,0.0,2024-06-17,11,successful
106,1077,6.99,2022-07-09,13,successful
107,185,9.99,2023-03-20,1,failed
108,2243,12.99,2022-01-06,6,failed
109,1371,12.99,2022-05-11,6,successful
110,854,59.99,2023-07-10,14,successful
111,2799,5.99,2025-01-30,5,successful
112,577,19.99,2024-12-28,3,failed
113,937,39.99,2022-01-02,10,successful
114,988,49.99,2022-05-16,4,successful
115,1480,5.99,2024-02-14,5,successful
116,2850,14.99,2024-02-05,2,successful
117,1198,39.99,2023-02-10,10,successful
118,381,14.99,2023-06-18,2,successful
119,2410,24.99,2024-12-13,8,successful
120,2416,59.99,2023-10-11,14,successful
121,549,59.99,2022-01-17,14,successful
122,2389,12.99,2023-08-08,6,successful
123,2030,0.0,2024-06-10,11,successful
124,2105,49.99,2022-04-17,4,successful
125,1532,29.99,2022-04-16,9,successful
126,2962,4.99,2025-01-02,12,successful
127,997,14.99,2023-10-02,2,successful
128,346,12.99,2022-07-08,6,failed
129,1025,49.99,2024-06-06,4,successful
130,1690,19.99,2025-07-16,3,successful
131,61,24.99,2025-01-28,8,successful
132,1869,14.99,2022-04-03,2,successful
133,1661,0.0,2024-12-10,11,successful
134,1234,19.99,2023-11-09,3,successful
135,217,17.99,2025-08-08,7,successful
136,10,19.99,2024-05-26,3,successful
137,2690,49.99,2023-05-16,4,failed
138,2956,14.99,2024-02-02,2,failed
139,735,4.99,2023-02-06,12,successful
140,137,9.99,2023-01-14,1,successful
141,758,29.99,2024-06-03,9,successful
142,2651,4.99,2023-11-18,12,failed
143,78,0.0,2023-10-31,11,failed
144,566,19.99,2023-08-14,3,successful
