subscription_id,user_id,plan_id,start_date,end_date,is_active
1,1423,15,2024-01-20,2024-09-16,False
2,2580,12,2022-08-29,2023-03-27,False
3,278,8,2024-05-08,2025-02-02,False
4,2064,13,2022-02-14,2022-05-15,False
5,2455,5,2022-09-22,2023-02-19,False
6,187,10,2022-05-05,2023-04-30,False
7,780,12,2024-03-25,2024-11-20,False
8,2805,9,2024-11-17,2025-01-16,False
9,678,8,2024-11-09,2025-06-07,False
10,2304,13,2024-03-10,2024-10-06,False
11,2488,5,2023-02-28,2023-05-29,False
12,15,3,2025-03-17,2025-07-15,False
13,2426,12,2022-01-19,2022-10-16,False
14,1866,9,2024-12-11,2025-05-10,False
15,1243,14,2023-03-28,2023-08-25,False
16,2902,5,2025-02-04,2025-04-05,False
17,701,4,2022-04-04,2022-12-30,False
18,976,5,2022-03-22,2023-02-15,False
19,607,15,2023-07-23,2023-10-21,False
20,1108,14,2022-04-16,2023-03-12,False
21,1020,14,2023-03-07,2023-12-02,False
22,476,1,2025-08-21,2026-02-17,True
23,2592,10,2024-01-26,2024-07-24,False
24,341,12,2025-01-29,2025-06-28,False
25,2958,3,2024-04-16,2025-02-10,False
26,1208,6,2022-04-28,2023-03-24,False
27,43,14,2023-12-30,2024-04-28,False
28,2993,5,2022-12-28,2023-05-27,False
29,65,9,2025-04-09,2025-06-08,False
30,2960,12,2024-02-22,2025-01-17,False
31,1055,14,2025-07-06,2026-06-01,True
32,2476,9,2023-02-27,2023-10-25,False
33,904,6,2023-07-05,2023-11-02,False
34,2383,11,2024-03-20,2024-06-18,False
35,1828,4,2024-06-07,2024-12-04,False
36,608,15,2024-09-08,2024-11-07,False
37,2032,3,2024-07-29,2024-10-27,False
38,722,4,2025-03-12,2025-11-07,True
39,2988,3,2025-08-19,2026-01-16,True
40,87,5,2022-11-30,2023-02-28,False
41,1615,11,2025-05-29,2025-09-26,True
42,285,3,2022-05-28,2022-12-24,False
43,1005,8,2025-08-14,2026-03-12,True
44,411,12,2024-12-14,2025-03-14,False
45,2977,13,2022-01-25,2022-11-21,False
46,409,7,2024-02-26,2024-03-27,False
47,451,14,2022-01-28,2022-12-24,False
48,180,3,2023-05-24,2023-07-23,False
49,1097,3,2025-07-08,2026-05-04,True
50,56,13,2022-01-20,2022-03-21,False
51,2222,12,2023-11-25,2024-11-19,False
52,349,4,2022-10-13,2023-06-10,False
53,2306,15,2024-06-28,2024-09-26,False
54,1260,6,2024-09-07,2024-12-06,False
55,999,1,2025-01-18,2026-01-13,True
56,1096,11,2025-01-18,2025-03-19,False
57,87,14,2022-04-02,2022-06-01,False
58,2231,5,2022-07-30,2023-04-26,False
59,1702,3,2022-01-03,2022-05-03,False
60,99,4,2024-05-24,2024-12-20,False
61,604,6,2023-08-11,2023-12-09,False
62,2804,7,2022-08-19,2023-04-16,False
63,695,2,2023-04-05,2023-06-04,False
64,1155,6,2022-06-06,2023-04-02,False
65,1367,2,2024-01-09,2024-03-09,False
66,178,10,2022-11-06,2023-02-04,False
67,1756,9,2023-11-17,2024-09-12,False
68,743,11,2024-05-20,2024-08-18,False
69,2734,11,2023-09-10,2024-07-06,False
70,1176,6,2022-08-01,2022-12-29,False
71,2045,11,2024-01-26,2024-06-24,False
72,2914,13,2022-06-06,2022-07-06,False
73,609,13,2022-10-28,2023-04-26,False
74,606,7,2024-07-03,2025-06-28,False
75,1960,14,2022-05-18,2022-07-17,False
76,2367,7,2023-07-25,2023-10-23,False
77,371,6,2022-09-19,2022-12-18,False
78,1578,6,2023-10-16,2024-06-12,False
79,1737,8,2024-04-27,2025-02-21,False
80,2608,6,2022-10-11,2023-09-06,False
81,1008,7,2024-05-07,2025-02-01,False
82,2037,9,2024-12-29,2025-08-26,False
83,2182,9,2023-04-17,2023-11-13,False
84,343,10,2024-05-13,2025-02-07,False
85,2367,13,2023-03-26,2024-03-20,False
86,358,4,2024-01-11,2024-02-10,False
